load time: 10.28995394706726  inference time: 0.22041010856628418
load time: 10.599883794784546  inference time: 0.20302557945251465
load time: 10.348930358886719  inference time: 0.13960003852844238
load time: 10.0694739818573  inference time: 0.13066935539245605
load time: 9.980245351791382  inference time: 0.1406247615814209
load time: 10.040449380874634  inference time: 0.12763381004333496
load time: 10.105241298675537  inference time: 0.1453838348388672
load time: 9.945845603942871  inference time: 0.13164663314819336
load time: 10.05736494064331  inference time: 0.12563633918762207
load time: 9.993818759918213  inference time: 0.20142912864685059
