load time: 7.299271106719971  inference time: 0.08876204490661621
load time: 7.227860450744629  inference time: 0.03193974494934082
load time: 7.0133185386657715  inference time: 0.032886505126953125
load time: 7.0808539390563965  inference time: 0.027941226959228516
load time: 7.0249552726745605  inference time: 0.03191351890563965
load time: 7.094993829727173  inference time: 0.02989339828491211
load time: 7.089007616043091  inference time: 0.03188681602478027
load time: 7.052346467971802  inference time: 0.03592991828918457
load time: 7.050582408905029  inference time: 0.027928590774536133
load time: 7.0802223682403564  inference time: 0.0328831672668457
