0	[0.16666666666666666, 0.6, 0.8833333333333333, 0.85, 0.8666666666666667, 0.8666666666666667, 0.9166666666666666, 0.9666666666666667, 1.0, 1.0]	[2.294368624687195, 1.379417598247528, 0.9993785321712494, 0.8783135712146759, 0.773921936750412, 0.6710197478532791, 0.5810008943080902, 0.5026016384363174, 0.4321224093437195, 0.3685931861400604]
1	[0.11666666666666667, 0.7, 0.9, 0.8833333333333333, 0.9, 0.9, 0.95, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333]	[2.3473891019821167, 1.4899309873580933, 1.0593650937080383, 0.9074585735797882, 0.8159810900688171, 0.7201977968215942, 0.6269486993551254, 0.5431789010763168, 0.47125817835330963, 0.4091930687427521]
2	[0.16666666666666666, 0.55, 0.9, 0.8, 0.8666666666666667, 0.8833333333333333, 0.9333333333333333, 0.9833333333333333, 1.0, 1.0]	[2.4187483191490173, 1.4369603991508484, 1.048725664615631, 0.9435788094997406, 0.858882337808609, 0.7518302202224731, 0.6449732482433319, 0.5529976636171341, 0.4758368134498596, 0.40922868251800537]
3	[0.13333333333333333, 0.7166666666666667, 0.9166666666666666, 0.8333333333333334, 0.9, 0.8833333333333333, 0.9, 0.9166666666666666, 0.9833333333333333, 1.0]	[2.286567986011505, 1.488501489162445, 1.0649719834327698, 0.8836592733860016, 0.796337902545929, 0.7102902829647064, 0.6138211190700531, 0.5210554599761963, 0.4444844573736191, 0.3824587017297745]
4	[0.16666666666666666, 0.48333333333333334, 0.8166666666666667, 0.9166666666666666, 0.85, 0.85, 0.8333333333333334, 0.95, 0.9666666666666667, 0.9833333333333333]	[2.214012026786804, 1.5025641918182373, 1.1435135006904602, 0.9598640203475952, 0.8450564444065094, 0.7491773664951324, 0.6550270020961761, 0.5608282089233398, 0.47698089480400085, 0.4084407240152359]
5	[0.16666666666666666, 0.5833333333333334, 0.9166666666666666, 0.9166666666666666, 0.9333333333333333, 0.9333333333333333, 0.9333333333333333, 0.95, 0.9666666666666667, 0.9833333333333333]	[2.2939205169677734, 1.464021921157837, 1.1210755109786987, 0.96209517121315, 0.8613541126251221, 0.7591911554336548, 0.659152090549469, 0.5720155388116837, 0.4968481659889221, 0.428959384560585]
6	[0.03333333333333333, 0.6833333333333333, 0.9333333333333333, 0.9, 0.8666666666666667, 0.8666666666666667, 0.9166666666666666, 0.9666666666666667, 1.0, 1.0]	[2.301932394504547, 1.4110211730003357, 1.0411975681781769, 0.872600257396698, 0.7715357840061188, 0.6825043261051178, 0.5910487323999405, 0.5012058615684509, 0.4229873716831207, 0.3594643622636795]
7	[0.15, 0.7333333333333333, 0.9166666666666666, 0.9166666666666666, 0.9, 0.9166666666666666, 0.9333333333333333, 0.9666666666666667, 1.0, 1.0]	[2.3490177392959595, 1.3692558407783508, 1.0050295889377594, 0.9025192856788635, 0.8153151571750641, 0.7171269953250885, 0.6170838177204132, 0.5288927853107452, 0.45588523149490356, 0.3923589885234833]
8	[0.0, 0.6666666666666666, 0.9, 0.9166666666666666, 0.8166666666666667, 0.85, 0.9, 0.95, 0.9833333333333333, 1.0]	[2.370646357536316, 1.497881531715393, 1.09190034866333, 0.9565732479095459, 0.8600616157054901, 0.7561348080635071, 0.6565188467502594, 0.5668382942676544, 0.49082051217556, 0.42632806301116943]
9	[0.016666666666666666, 0.8, 0.9, 0.9, 0.9166666666666666, 0.8833333333333333, 0.8833333333333333, 0.9, 0.9333333333333333, 0.9833333333333333]	[2.2284587025642395, 1.3949865102767944, 1.0905098915100098, 0.9236190021038055, 0.8045928478240967, 0.7039408087730408, 0.6114615947008133, 0.5290604531764984, 0.45352356135845184, 0.3858558386564255]
